customer_id,order_id,order_date,product_id,category,city,quantity,price,revenue
C0062,1000,2023-08-15,P4,Clothing,Delhi,4,990,3960
C0201,1001,2023-09-01,P5,Clothing,Delhi,5,1806,9030
C0364,1002,2023-08-12,P7,Sports,Delhi,1,1815,1815
C0087,1003,2023-04-01,P3,Sports,Mumbai,1,441,441
C0167,1004,2023-07-11,P4,Clothing,Delhi,3,336,1008
C0238,1005,2023-11-14,P5,Sports,Kolkata,1,461,461
C0464,1006,2023-05-27,P4,Home,Kolkata,2,1629,3258
C0233,1007,2023-06-01,P1,Electronics,Mumbai,3,151,453
C0021,1008,2023-02-11,P1,Clothing,Mumbai,2,658,1316
C0140,1009,2023-09-10,P2,Sports,Bangalore,2,1994,3988
C0191,1010,2023-07-16,P6,Electronics,Chennai,3,464,1392
C0027,1011,2023-02-02,P8,Home,Mumbai,3,952,2856
C0407,1012,2023-01-24,P1,Home,Delhi,2,1731,3462
C0245,1013,2023-07-23,P7,Sports,Bangalore,1,896,896
C0151,1014,2023-02-07,P8,Sports,Bangalore,2,392,784
C0132,1015,2023-12-07,P7,Clothing,Kolkata,2,1637,3274
C0107,1016,2023-11-01,P3,Sports,Chennai,3,1147,3441
C0397,1017,2023-02-21,P8,Home,Chennai,2,1315,2630
C0482,1018,2023-02-26,P3,Home,Chennai,1,1128,1128
C0327,1019,2023-03-03,P4,Sports,Bangalore,2,959,1918
C0228,1020,2023-08-12,P5,Home,Bangalore,4,1598,6392
C0237,1021,2023-02-23,P4,Electronics,Delhi,1,695,695
C0048,1022,2023-07-27,P4,Home,Delhi,1,639,639
C0428,1023,2023-11-27,P8,Clothing,Chennai,1,321,321
C0145,1024,2023-03-04,P6,Clothing,Chennai,4,173,692
C0479,1025,2023-04-16,P1,Clothing,Bangalore,5,1164,5820
C0273,1026,2023-01-13,P1,Home,Chennai,2,450,900
C0463,1027,2023-04-22,P1,Clothing,Kolkata,3,1534,4602
C0197,1028,2023-04-20,P1,Clothing,Chennai,1,1123,1123
C0214,1029,2023-07-01,P7,Electronics,Mumbai,5,1271,6355
C0172,1030,2023-07-28,P3,Home,Bangalore,4,1824,7296
C0083,1031,2023-12-09,P6,Electronics,Bangalore,4,1190,4760
C0283,1032,2023-11-23,P8,Clothing,Kolkata,1,555,555
C0039,1033,2023-06-03,P1,Electronics,Bangalore,3,1854,5562
C0202,1034,2023-12-06,P8,Home,Bangalore,2,580,1160
C0078,1035,2023-11-29,P3,Home,Bangalore,5,900,4500
C0212,1036,2023-08-22,P2,Clothing,Chennai,2,1645,3290
C0275,1037,2023-05-19,P6,Clothing,Chennai,2,1206,2412
C0019,1038,2023-08-28,P7,Clothing,Delhi,5,540,2700
C0018,1039,2023-09-05,P8,Sports,Bangalore,3,452,1356
C0245,1040,2023-07-20,P7,Home,Bangalore,3,994,2982
C0099,1041,2023-04-27,P4,Sports,Mumbai,1,1679,1679
C0134,1042,2023-07-08,P1,Clothing,Kolkata,3,384,1152
C0351,1043,2023-11-25,P6,Clothing,Kolkata,2,1862,3724
C0109,1044,2023-09-06,P2,Sports,Delhi,5,1935,9675
C0215,1045,2023-03-09,P8,Sports,Chennai,2,1904,3808
C0110,1046,2023-05-05,P6,Home,Mumbai,4,259,1036
C0202,1047,2023-12-23,P8,Sports,Kolkata,3,408,1224
C0157,1048,2023-10-31,P1,Electronics,Delhi,4,1116,4464
C0425,1049,2023-10-21,P2,Sports,Bangalore,3,1281,3843
C0042,1050,2023-04-26,P6,Clothing,Delhi,5,1252,6260
C0195,1051,2023-02-03,P4,Sports,Delhi,2,1113,2226
C0289,1052,2023-01-08,P7,Electronics,Chennai,1,974,974
C0399,1053,2023-09-16,P3,Electronics,Delhi,1,1533,1533
C0021,1054,2023-08-22,P2,Clothing,Kolkata,4,882,3528
C0359,1055,2023-03-24,P3,Sports,Mumbai,5,1601,8005
C0077,1056,2023-09-28,P5,Sports,Delhi,4,1036,4144
C0164,1057,2023-09-22,P1,Electronics,Mumbai,5,1435,7175
C0485,1058,2023-06-27,P6,Electronics,Kolkata,2,1656,3312
C0287,1059,2023-08-13,P2,Clothing,Delhi,2,1453,2906
C0042,1060,2023-05-19,P3,Electronics,Delhi,3,1760,5280
C0500,1061,2023-11-11,P6,Electronics,Chennai,2,1140,2280
C0156,1062,2023-03-21,P2,Electronics,Kolkata,4,1161,4644
C0436,1063,2023-07-25,P5,Electronics,Delhi,2,1155,2310
C0164,1064,2023-08-18,P5,Electronics,Mumbai,4,958,3832
C0409,1065,2023-02-22,P2,Sports,Kolkata,3,1220,3660
C0355,1066,2023-06-13,P1,Clothing,Mumbai,4,851,3404
C0214,1067,2023-12-18,P4,Home,Kolkata,1,751,751
C0301,1068,2023-05-02,P7,Sports,Kolkata,5,945,4725
C0123,1069,2023-02-20,P1,Home,Kolkata,4,625,2500
C0247,1070,2023-12-16,P7,Clothing,Mumbai,4,543,2172
C0407,1071,2023-04-30,P1,Home,Mumbai,2,1938,3876
C0249,1072,2023-02-02,P4,Home,Delhi,5,329,1645
C0276,1073,2023-09-18,P7,Sports,Chennai,3,500,1500
C0416,1074,2023-10-30,P2,Home,Mumbai,1,1246,1246
C0432,1075,2023-12-03,P2,Electronics,Mumbai,1,551,551
C0451,1076,2023-10-05,P7,Sports,Kolkata,4,853,3412
C0412,1077,2023-12-14,P1,Sports,Kolkata,1,133,133
C0381,1078,2023-12-04,P2,Electronics,Mumbai,3,178,534
C0277,1079,2023-04-15,P8,Home,Mumbai,4,1156,4624
C0416,1080,2023-03-23,P2,Home,Chennai,4,948,3792
C0249,1081,2023-08-17,P8,Clothing,Chennai,4,380,1520
C0475,1082,2023-03-19,P1,Home,Kolkata,1,188,188
C0448,1083,2023-09-23,P4,Electronics,Chennai,5,393,1965
C0101,1084,2023-01-30,P2,Electronics,Delhi,2,1661,3322
C0177,1085,2023-02-18,P5,Electronics,Mumbai,1,562,562
C0244,1086,2023-09-03,P2,Clothing,Kolkata,5,737,3685
C0484,1087,2023-09-27,P1,Clothing,Mumbai,1,945,945
C0135,1088,2023-04-16,P1,Sports,Mumbai,3,1568,4704
C0223,1089,2023-01-18,P2,Clothing,Chennai,1,1576,1576
C0344,1090,2023-05-08,P3,Home,Delhi,2,1227,2454
C0021,1091,2023-12-08,P3,Home,Chennai,3,436,1308
C0209,1092,2023-05-27,P3,Electronics,Kolkata,5,1626,8130
C0178,1093,2023-07-22,P7,Clothing,Chennai,3,164,492
C0048,1094,2023-09-08,P1,Clothing,Mumbai,3,1688,5064
C0396,1095,2023-05-04,P4,Home,Chennai,4,647,2588
C0262,1096,2023-07-15,P3,Home,Bangalore,5,1677,8385
C0012,1097,2023-10-10,P2,Sports,Mumbai,4,1022,4088
C0285,1098,2023-08-09,P8,Electronics,Delhi,5,1985,9925
C0029,1099,2023-12-19,P7,Clothing,Kolkata,1,1367,1367
C0026,1100,2023-11-01,P6,Sports,Delhi,1,998,998
C0453,1101,2023-04-01,P5,Electronics,Kolkata,2,534,1068
C0371,1102,2023-06-15,P4,Electronics,Bangalore,4,248,992
